vintage,30d,60d,90d,120d,180d
2025-01,0.13522609849346975,0.2507833211866672,0.4562049902575543,0.4562049902575543,0.5313173832671017
2025-02,0.2188098342803016,0.37664646151926706,0.5202047274878321,0.6114934491913625,0.716935331266897
2025-03,0.15865708385065938,0.2764469413883473,0.3701742617448489,0.5284139204510818,0.61651895253197
2025-04,0.150494706849087,0.300359582703637,0.4637710453786137,0.5909250305107714,0.6892152057859303
2025-05,0.13837234942150925,0.29061354488750607,0.4131593179601131,0.5530868288573402,0.6670162849347138
2025-06,0.15170959858724328,0.27666700726196947,0.41015298997046923,0.5377912302107675,0.6493662255895366
2025-07,0.17893062126194126,0.31526812359790846,0.445784490929473,0.5733612292504185,0.6771210917931432
2025-08,0.16971818680627668,0.3384700312203059,0.4787559461083089,0.5967691431020434,0.6982863676068374
2025-09,0.18708964891866173,0.30679502037888495,0.4149144858471706,0.5196819962628747,0.6478572233980331
2025-10,0.15624274150803275,0.3061609643333165,0.4450941819711259,0.5639644391801882,0.6610551994191121
2025-11,0.13693503727338993,0.2805774548079975,0.4122514519695597,0.5355276287117123,0.6392267563936891
2025-12,0.16848683697484262,0.31078699290325645,0.4595392818795044,0.5686917174548158,0.6733354833152486
2026-01,0.17879372362747611,0.30420244572194044,0.4056885196134443,0.5339790569698318,0.651855942322082
2026-02,0.15543362128618224,0.3180058470564434,0.45032048153809967,0.553306210637901,0.6619834325645663
2026-03,0.15632264386301542,0.29329939641964026,0.42271195564470254,0.5446061176593802,
2026-04,0.17151564826600604,0.32408138203175485,0.4552977351405438,0.5532179439197054,
2026-05,0.1674942485053348,0.2950570694742948,0.4276113457626837,,
2026-06,0.1637045430091776,0.3284966702901668,,,
2026-07,0.1936664195806757,,,,
2026-08,,,,,
